title,image_url,clustering_id,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9
1109_doucet_4PHOT68_bureauJMT_01_4_10_000005.jpg,1109_doucet_4PHOT68_bureauJMT_01_4_10_000005.jpg,8.0,,,,,,,,,
1109_doucet_4PHOT68_salon_14_22_000004.jpg,1109_doucet_4PHOT68_salon_14_22_000004.jpg,3.0,,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_001,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000001.tif/full/full/0/default.jpg,,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_002,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000002.tif/full/full/0/default.jpg,,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_003,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000003.tif/full/full/0/default.jpg,,1.1. Photographie,2.1.2.4 Statue,2.2. Objet,2.2.5 Objet archéologique,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_003.jpg,B751025206PH04PHOT68_bureauJMT_01_7_5_003.jpg,0.0,,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_004,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000004.tif/full/full/0/default.jpg,,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2. Objet,2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_005,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000005.tif/full/full/0/default.jpg,,1.1. Photographie,2.2. Objet,2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_005.jpg,B751025206PH04PHOT68_bureauJMT_01_7_5_005.jpg,0.0,,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_006,https://bibliotheque-numerique.inha.fr/i/?IIIF=/a9/5e/3b/77/a95e3b77-fe77-4a81-8356-62c69d979bb5/iiif/1109_doucet_4PHOT68_bureauJMT_01_7_5_000006.tif/full/full/0/default.jpg,,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2. Objet,2.2.5 Objet archéologique,,,,,,
