title,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9
B751025206PH04PHOT68_bureauJMT_01_7_5_001,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_002,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_003,1.1. Photographie,2.1.2.4 Statue,2.2. Objet,2.2.5 Objet archéologique,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_004,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2. Objet,2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_005,1.1. Photographie,2.2. Objet,2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_006,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2. Objet,2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_007,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_008,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_009,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_010,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_011,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_012,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_013,2.1.2 Monument mineur et pierres tombales,2.1.2.3 Monument à colonne ou à stèle quadrilatérale,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_014,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_015,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_016,2.2.5 Objet archéologique,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_017,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_018,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_019,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
