epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.7473,1.1206,0.64474,1,0.86084,0.08218,0.00018,0.00018
2,35.9147,0.66172,0.55263,1,0.97982,0.0633639,0.000363895,0.000363895
3,49.0242,0.61937,0.65789,1,0.92139,0.0445415,0.00054152,0.00054152
4,62.5393,0.56364,0.77632,1,0.62557,0.0257129,0.000712875,0.000712875
5,77.3166,0.50821,0.77632,1,0.80249,0.00687796,0.00087796,0.00087796
6,90.9125,0.4521,0.78947,1,0.58008,0.0009175,0.0009175,0.0009175
7,103.936,0.46831,0.78947,1,0.60059,0.000901,0.000901,0.000901
8,116.682,0.41054,0.76316,1,0.65951,0.0008845,0.0008845,0.0008845
9,129.624,0.3985,0.80263,1,0.56763,0.000868,0.000868,0.000868
10,143.35,0.30141,0.77632,1,0.74902,0.0008515,0.0008515,0.0008515
11,156.685,0.32912,0.76316,1,0.77043,0.000835,0.000835,0.000835
12,170.407,0.31572,0.81579,1,0.6215,0.0008185,0.0008185,0.0008185
13,183.979,0.35493,0.78947,1,0.69027,0.000802,0.000802,0.000802
14,197.692,0.22524,0.85526,1,0.68937,0.0007855,0.0007855,0.0007855
15,211.088,0.30209,0.77632,1,0.91634,0.000769,0.000769,0.000769
16,224.338,0.24545,0.80263,1,0.67285,0.0007525,0.0007525,0.0007525
17,237.905,0.29461,0.86842,1,0.49967,0.000736,0.000736,0.000736
18,251.644,0.18691,0.88158,1,0.4856,0.0007195,0.0007195,0.0007195
19,264.67,0.20628,0.86842,1,0.39333,0.000703,0.000703,0.000703
20,277.739,0.20413,0.81579,1,0.49316,0.0006865,0.0006865,0.0006865
21,290.87,0.17838,0.85526,1,0.58464,0.00067,0.00067,0.00067
22,304.472,0.14662,0.82895,1,0.59444,0.0006535,0.0006535,0.0006535
23,318.226,0.23635,0.71053,1,0.67729,0.000637,0.000637,0.000637
24,331.786,0.14392,0.75,1,0.56038,0.0006205,0.0006205,0.0006205
25,345.281,0.18804,0.84211,1,0.50285,0.000604,0.000604,0.000604
26,358.74,0.14146,0.82895,1,0.58927,0.0005875,0.0005875,0.0005875
27,372.244,0.17509,0.82895,1,0.76546,0.000571,0.000571,0.000571
28,385.648,0.23129,0.80263,1,0.49972,0.0005545,0.0005545,0.0005545
