epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.6792,0.50793,0.87805,1,0.47656,0.0678049,0.000325203,0.000325203
2,63.1558,0.25012,0.92683,1,0.4954,0.034794,0.000647671,0.000647671
3,93.2906,0.17949,0.96341,1,0.15209,0.00177215,0.000959138,0.000959138
4,122.409,0.14935,0.90244,1,0.26298,0.0009505,0.0009505,0.0009505
5,151.273,0.21822,0.93902,1,0.19858,0.000934,0.000934,0.000934
6,179.155,0.15129,0.95732,1,0.14503,0.0009175,0.0009175,0.0009175
7,207.116,0.14012,0.95732,1,0.29282,0.000901,0.000901,0.000901
8,234.481,0.11718,0.96951,1,0.11324,0.0008845,0.0008845,0.0008845
9,263.075,0.08903,0.93902,1,0.23232,0.000868,0.000868,0.000868
10,291.045,0.07575,0.96341,1,0.23658,0.0008515,0.0008515,0.0008515
11,319.34,0.06893,0.92073,1,0.33654,0.000835,0.000835,0.000835
12,347.423,0.07694,0.96951,1,0.28156,0.0008185,0.0008185,0.0008185
13,376.01,0.16558,0.91463,1,0.24409,0.000802,0.000802,0.000802
14,403.448,0.10644,0.89634,1,0.26239,0.0007855,0.0007855,0.0007855
15,431.315,0.06151,0.95732,1,0.1911,0.000769,0.000769,0.000769
16,459.275,0.05838,0.95732,1,0.22318,0.0007525,0.0007525,0.0007525
17,487.247,0.07355,0.90854,1,0.28168,0.000736,0.000736,0.000736
18,515.648,0.0621,0.96341,1,0.18772,0.0007195,0.0007195,0.0007195
